2025-04-19 01:18:33,861 | INFO | Fetching summary between 2024-08-02 and 2024-08-25
2025-04-19 14:58:59,392 | DEBUG | Database connection closed.
2025-04-19 14:59:01,908 | INFO | Fetching expenses for date: 2024-08-03
2025-04-19 14:59:01,916 | DEBUG | Database connection opened.
2025-04-19 14:59:01,922 | INFO | Fetched 5 expenses.
2025-04-19 14:59:01,922 | DEBUG | Database connection closed.
2025-04-19 14:59:04,474 | INFO | Fetching expenses for date: 2024-08-11
2025-04-19 14:59:04,483 | DEBUG | Database connection opened.
2025-04-19 14:59:04,485 | INFO | Fetched 0 expenses.
2025-04-19 14:59:04,486 | DEBUG | Database connection closed.
2025-04-19 14:59:06,613 | INFO | Fetching expenses for date: 2024-08-06
2025-04-19 14:59:06,621 | DEBUG | Database connection opened.
2025-04-19 14:59:06,625 | INFO | Fetched 4 expenses.
2025-04-19 14:59:06,626 | DEBUG | Database connection closed.
2025-04-20 01:07:24,659 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 01:07:24,857 | DEBUG | Database connection opened.
2025-04-20 01:07:24,891 | INFO | Fetched 4 expenses.
2025-04-20 01:07:24,892 | DEBUG | Database connection closed.
2025-04-20 01:08:33,481 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 01:08:33,507 | DEBUG | Database connection opened.
2025-04-20 01:08:33,522 | INFO | Fetched 4 expenses.
2025-04-20 01:08:33,522 | DEBUG | Database connection closed.
2025-04-20 01:08:40,829 | INFO | Fetching expenses for date: 2024-08-02
2025-04-20 01:08:40,842 | DEBUG | Database connection opened.
2025-04-20 01:08:40,846 | INFO | Fetched 2 expenses.
2025-04-20 01:08:40,846 | DEBUG | Database connection closed.
2025-04-20 01:12:31,634 | INFO | Fetching expenses for date: 2024-08-02
2025-04-20 01:12:31,646 | DEBUG | Database connection opened.
2025-04-20 01:12:31,651 | INFO | Fetched 2 expenses.
2025-04-20 01:12:31,651 | DEBUG | Database connection closed.
2025-04-20 01:20:18,849 | INFO | Fetching expenses for date: 2024-08-02
2025-04-20 01:20:18,862 | DEBUG | Database connection opened.
2025-04-20 01:20:18,862 | INFO | Fetched 2 expenses.
2025-04-20 01:20:18,866 | DEBUG | Database connection closed.
2025-04-20 01:21:41,590 | INFO | Fetching expenses for date: 2024-08-02
2025-04-20 01:21:41,602 | DEBUG | Database connection opened.
2025-04-20 01:21:41,606 | INFO | Fetched 2 expenses.
2025-04-20 01:21:41,609 | DEBUG | Database connection closed.
2025-04-20 01:22:34,869 | INFO | Fetching expenses for date: 2024-08-02
2025-04-20 01:22:34,880 | DEBUG | Database connection opened.
2025-04-20 01:22:34,880 | INFO | Fetched 2 expenses.
2025-04-20 01:22:34,880 | DEBUG | Database connection closed.
2025-04-20 01:23:57,096 | INFO | Fetching expenses for date: 2024-08-02
2025-04-20 01:23:57,121 | DEBUG | Database connection opened.
2025-04-20 01:23:57,121 | INFO | Fetched 2 expenses.
2025-04-20 01:23:57,125 | DEBUG | Database connection closed.
2025-04-20 01:26:21,916 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 01:26:21,930 | DEBUG | Database connection opened.
2025-04-20 01:26:21,930 | INFO | Fetched 4 expenses.
2025-04-20 01:26:21,930 | DEBUG | Database connection closed.
2025-04-20 01:35:20,213 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 01:35:20,245 | DEBUG | Database connection opened.
2025-04-20 01:35:20,245 | INFO | Fetched 4 expenses.
2025-04-20 01:35:20,245 | DEBUG | Database connection closed.
2025-04-20 01:35:23,651 | INFO | Fetching expenses for date: 2024-08-02
2025-04-20 01:35:23,664 | DEBUG | Database connection opened.
2025-04-20 01:35:23,676 | INFO | Fetched 2 expenses.
2025-04-20 01:35:23,676 | DEBUG | Database connection closed.
2025-04-20 01:37:23,313 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 01:37:23,336 | DEBUG | Database connection opened.
2025-04-20 01:37:23,336 | INFO | Fetched 4 expenses.
2025-04-20 01:37:23,336 | DEBUG | Database connection closed.
2025-04-20 03:31:44,352 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 03:31:44,501 | DEBUG | Database connection opened.
2025-04-20 03:31:44,529 | INFO | Fetched 4 expenses.
2025-04-20 03:31:44,530 | DEBUG | Database connection closed.
2025-04-20 03:31:53,708 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 03:31:53,724 | DEBUG | Database connection opened.
2025-04-20 03:31:53,728 | INFO | Fetched 4 expenses.
2025-04-20 03:31:53,729 | DEBUG | Database connection closed.
2025-04-20 03:32:05,979 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 03:32:05,995 | DEBUG | Database connection opened.
2025-04-20 03:32:05,998 | INFO | Fetched 4 expenses.
2025-04-20 03:32:05,998 | DEBUG | Database connection closed.
2025-04-20 03:35:47,927 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 03:35:47,942 | DEBUG | Database connection opened.
2025-04-20 03:35:47,946 | INFO | Fetched 4 expenses.
2025-04-20 03:35:47,946 | DEBUG | Database connection closed.
2025-04-20 03:35:51,718 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 03:35:51,732 | DEBUG | Database connection opened.
2025-04-20 03:35:51,732 | INFO | Fetched 4 expenses.
2025-04-20 03:35:51,732 | DEBUG | Database connection closed.
2025-04-20 03:35:51,838 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 03:35:51,843 | DEBUG | Database connection opened.
2025-04-20 03:35:51,843 | INFO | Fetched 4 expenses.
2025-04-20 03:35:51,843 | DEBUG | Database connection closed.
2025-04-20 03:36:03,496 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 03:36:03,496 | DEBUG | Database connection opened.
2025-04-20 03:36:03,512 | INFO | Fetched 4 expenses.
2025-04-20 03:36:03,512 | DEBUG | Database connection closed.
2025-04-20 03:36:03,638 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 03:36:03,647 | DEBUG | Database connection opened.
2025-04-20 03:36:03,647 | INFO | Fetched 4 expenses.
2025-04-20 03:36:03,654 | DEBUG | Database connection closed.
2025-04-20 03:36:16,213 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 03:36:16,230 | DEBUG | Database connection opened.
2025-04-20 03:36:16,230 | INFO | Fetched 4 expenses.
2025-04-20 03:36:16,239 | DEBUG | Database connection closed.
2025-04-20 03:36:16,340 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 03:36:16,355 | DEBUG | Database connection opened.
2025-04-20 03:36:16,357 | INFO | Fetched 4 expenses.
2025-04-20 03:36:16,357 | DEBUG | Database connection closed.
2025-04-20 03:36:28,855 | INFO | Fetching expenses for date: 2024-08-02
2025-04-20 03:36:28,871 | DEBUG | Database connection opened.
2025-04-20 03:36:28,871 | INFO | Fetched 2 expenses.
2025-04-20 03:36:28,871 | DEBUG | Database connection closed.
2025-04-20 03:36:43,922 | INFO | Fetching expenses for date: 2024-08-02
2025-04-20 03:36:43,950 | DEBUG | Database connection opened.
2025-04-20 03:36:43,955 | INFO | Fetched 2 expenses.
2025-04-20 03:36:43,955 | DEBUG | Database connection closed.
2025-04-20 03:36:44,066 | INFO | Fetching expenses for date: 2024-08-02
2025-04-20 03:36:44,075 | DEBUG | Database connection opened.
2025-04-20 03:36:44,079 | INFO | Fetched 2 expenses.
2025-04-20 03:36:44,079 | DEBUG | Database connection closed.
2025-04-20 03:36:44,699 | INFO | Fetching expenses for date: 2024-08-02
2025-04-20 03:36:44,710 | DEBUG | Database connection opened.
2025-04-20 03:36:44,710 | INFO | Fetched 2 expenses.
2025-04-20 03:36:44,714 | DEBUG | Database connection closed.
2025-04-20 03:36:44,811 | INFO | Fetching expenses for date: 2024-08-02
2025-04-20 03:36:44,822 | DEBUG | Database connection opened.
2025-04-20 03:36:44,822 | INFO | Fetched 2 expenses.
2025-04-20 03:36:44,822 | DEBUG | Database connection closed.
2025-04-20 03:38:03,626 | INFO | Fetching expenses for date: 2024-08-07
2025-04-20 03:38:03,642 | DEBUG | Database connection opened.
2025-04-20 03:38:03,651 | INFO | Fetched 0 expenses.
2025-04-20 03:38:03,652 | DEBUG | Database connection closed.
2025-04-20 03:38:07,558 | INFO | Fetching expenses for date: 2024-08-05
2025-04-20 03:38:07,582 | DEBUG | Database connection opened.
2025-04-20 03:38:07,582 | INFO | Fetched 5 expenses.
2025-04-20 03:38:07,582 | DEBUG | Database connection closed.
2025-04-20 03:38:53,467 | INFO | Fetching expenses for date: 2024-08-05
2025-04-20 03:38:53,483 | DEBUG | Database connection opened.
2025-04-20 03:38:53,483 | INFO | Fetched 5 expenses.
2025-04-20 03:38:53,483 | DEBUG | Database connection closed.
2025-04-20 03:38:53,572 | INFO | Fetching expenses for date: 2024-08-05
2025-04-20 03:38:53,599 | DEBUG | Database connection opened.
2025-04-20 03:38:53,606 | INFO | Fetched 5 expenses.
2025-04-20 03:38:53,610 | DEBUG | Database connection closed.
2025-04-20 03:39:06,929 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 03:39:06,944 | DEBUG | Database connection opened.
2025-04-20 03:39:06,946 | INFO | Fetched 4 expenses.
2025-04-20 03:39:06,948 | DEBUG | Database connection closed.
2025-04-20 03:39:20,201 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 03:39:20,211 | DEBUG | Database connection opened.
2025-04-20 03:39:20,211 | INFO | Fetched 4 expenses.
2025-04-20 03:39:20,211 | DEBUG | Database connection closed.
2025-04-20 03:39:30,341 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 03:39:30,365 | DEBUG | Database connection opened.
2025-04-20 03:39:30,367 | INFO | Fetched 4 expenses.
2025-04-20 03:39:30,367 | DEBUG | Database connection closed.
2025-04-20 03:39:30,458 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 03:39:30,468 | DEBUG | Database connection opened.
2025-04-20 03:39:30,472 | INFO | Fetched 4 expenses.
2025-04-20 03:39:30,472 | DEBUG | Database connection closed.
2025-04-20 16:53:01,450 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 16:53:01,663 | DEBUG | Database connection opened.
2025-04-20 16:53:01,704 | INFO | Fetched 4 expenses.
2025-04-20 16:53:01,708 | DEBUG | Database connection closed.
2025-04-20 16:53:26,585 | INFO | Fetching expenses for date: 2024-08-02
2025-04-20 16:53:26,609 | DEBUG | Database connection opened.
2025-04-20 16:53:26,609 | INFO | Fetched 2 expenses.
2025-04-20 16:53:26,609 | DEBUG | Database connection closed.
2025-04-20 16:53:44,636 | INFO | Fetching expenses for date: 2024-08-07
2025-04-20 16:53:44,658 | DEBUG | Database connection opened.
2025-04-20 16:53:44,658 | INFO | Fetched 0 expenses.
2025-04-20 16:53:44,658 | DEBUG | Database connection closed.
2025-04-20 16:53:48,166 | INFO | Fetching expenses for date: 2024-08-06
2025-04-20 16:53:48,181 | DEBUG | Database connection opened.
2025-04-20 16:53:48,181 | INFO | Fetched 4 expenses.
2025-04-20 16:53:48,181 | DEBUG | Database connection closed.
2025-04-20 17:07:21,215 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:07:21,464 | DEBUG | Database connection opened.
2025-04-20 17:07:21,499 | INFO | Fetched 4 expenses.
2025-04-20 17:07:21,499 | DEBUG | Database connection closed.
2025-04-20 17:09:11,600 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:09:11,616 | DEBUG | Database connection opened.
2025-04-20 17:09:11,619 | INFO | Fetched 4 expenses.
2025-04-20 17:09:11,624 | DEBUG | Database connection closed.
2025-04-20 17:14:59,599 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:14:59,619 | DEBUG | Database connection opened.
2025-04-20 17:14:59,624 | INFO | Fetched 4 expenses.
2025-04-20 17:14:59,626 | DEBUG | Database connection closed.
2025-04-20 17:21:14,456 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:21:14,476 | DEBUG | Database connection opened.
2025-04-20 17:21:14,478 | INFO | Fetched 4 expenses.
2025-04-20 17:21:14,478 | DEBUG | Database connection closed.
2025-04-20 17:21:44,119 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:21:44,135 | DEBUG | Database connection opened.
2025-04-20 17:21:44,135 | INFO | Fetched 4 expenses.
2025-04-20 17:21:44,135 | DEBUG | Database connection closed.
2025-04-20 17:27:48,275 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:27:48,326 | DEBUG | Database connection opened.
2025-04-20 17:27:48,329 | INFO | Fetched 4 expenses.
2025-04-20 17:27:48,329 | DEBUG | Database connection closed.
2025-04-20 17:27:56,124 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:27:56,143 | DEBUG | Database connection opened.
2025-04-20 17:27:56,143 | INFO | Fetched 4 expenses.
2025-04-20 17:27:56,143 | DEBUG | Database connection closed.
2025-04-20 17:27:56,286 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:27:56,298 | DEBUG | Database connection opened.
2025-04-20 17:27:56,298 | INFO | Fetched 4 expenses.
2025-04-20 17:27:56,298 | DEBUG | Database connection closed.
2025-04-20 17:27:59,364 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:27:59,386 | DEBUG | Database connection opened.
2025-04-20 17:27:59,386 | INFO | Fetched 4 expenses.
2025-04-20 17:27:59,386 | DEBUG | Database connection closed.
2025-04-20 17:27:59,494 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:27:59,502 | DEBUG | Database connection opened.
2025-04-20 17:27:59,515 | INFO | Fetched 4 expenses.
2025-04-20 17:27:59,515 | DEBUG | Database connection closed.
2025-04-20 17:28:00,566 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:28:00,578 | DEBUG | Database connection opened.
2025-04-20 17:28:00,580 | INFO | Fetched 4 expenses.
2025-04-20 17:28:00,580 | DEBUG | Database connection closed.
2025-04-20 17:28:00,671 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:28:00,688 | DEBUG | Database connection opened.
2025-04-20 17:28:00,688 | INFO | Fetched 4 expenses.
2025-04-20 17:28:00,688 | DEBUG | Database connection closed.
2025-04-20 17:29:39,049 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:29:39,065 | DEBUG | Database connection opened.
2025-04-20 17:29:39,069 | INFO | Fetched 4 expenses.
2025-04-20 17:29:39,071 | DEBUG | Database connection closed.
2025-04-20 17:30:43,700 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:30:43,717 | DEBUG | Database connection opened.
2025-04-20 17:30:43,717 | INFO | Fetched 4 expenses.
2025-04-20 17:30:43,717 | DEBUG | Database connection closed.
2025-04-20 17:30:43,898 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:30:43,905 | DEBUG | Database connection opened.
2025-04-20 17:30:43,913 | INFO | Fetched 4 expenses.
2025-04-20 17:30:43,913 | DEBUG | Database connection closed.
2025-04-20 17:30:45,380 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:30:45,397 | DEBUG | Database connection opened.
2025-04-20 17:30:45,399 | INFO | Fetched 4 expenses.
2025-04-20 17:30:45,399 | DEBUG | Database connection closed.
2025-04-20 17:30:45,529 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:30:45,541 | DEBUG | Database connection opened.
2025-04-20 17:30:45,543 | INFO | Fetched 4 expenses.
2025-04-20 17:30:45,543 | DEBUG | Database connection closed.
2025-04-20 17:30:46,394 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:30:46,405 | DEBUG | Database connection opened.
2025-04-20 17:30:46,410 | INFO | Fetched 4 expenses.
2025-04-20 17:30:46,410 | DEBUG | Database connection closed.
2025-04-20 17:30:46,544 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:30:46,557 | DEBUG | Database connection opened.
2025-04-20 17:30:46,558 | INFO | Fetched 4 expenses.
2025-04-20 17:30:46,558 | DEBUG | Database connection closed.
2025-04-20 17:30:47,351 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:30:47,371 | DEBUG | Database connection opened.
2025-04-20 17:30:47,373 | INFO | Fetched 4 expenses.
2025-04-20 17:30:47,375 | DEBUG | Database connection closed.
2025-04-20 17:30:47,514 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:30:47,526 | DEBUG | Database connection opened.
2025-04-20 17:30:47,528 | INFO | Fetched 4 expenses.
2025-04-20 17:30:47,528 | DEBUG | Database connection closed.
2025-04-20 17:30:48,482 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:30:48,508 | DEBUG | Database connection opened.
2025-04-20 17:30:48,511 | INFO | Fetched 4 expenses.
2025-04-20 17:30:48,511 | DEBUG | Database connection closed.
2025-04-20 17:30:48,640 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:30:48,651 | DEBUG | Database connection opened.
2025-04-20 17:30:48,651 | INFO | Fetched 4 expenses.
2025-04-20 17:30:48,653 | DEBUG | Database connection closed.
2025-04-20 17:30:50,599 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:30:50,612 | DEBUG | Database connection opened.
2025-04-20 17:30:50,615 | INFO | Fetched 4 expenses.
2025-04-20 17:30:50,615 | DEBUG | Database connection closed.
2025-04-20 17:30:50,746 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:30:50,762 | DEBUG | Database connection opened.
2025-04-20 17:30:50,764 | INFO | Fetched 4 expenses.
2025-04-20 17:30:50,764 | DEBUG | Database connection closed.
2025-04-20 17:30:51,519 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:30:51,535 | DEBUG | Database connection opened.
2025-04-20 17:30:51,535 | INFO | Fetched 4 expenses.
2025-04-20 17:30:51,535 | DEBUG | Database connection closed.
2025-04-20 17:30:51,676 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:30:51,691 | DEBUG | Database connection opened.
2025-04-20 17:30:51,691 | INFO | Fetched 4 expenses.
2025-04-20 17:30:51,691 | DEBUG | Database connection closed.
2025-04-20 17:51:03,960 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:51:03,994 | DEBUG | Database connection opened.
2025-04-20 17:51:04,002 | INFO | Fetched 4 expenses.
2025-04-20 17:51:04,002 | DEBUG | Database connection closed.
2025-04-20 17:51:17,102 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:51:17,119 | DEBUG | Database connection opened.
2025-04-20 17:51:17,135 | INFO | Fetched 4 expenses.
2025-04-20 17:51:17,135 | DEBUG | Database connection closed.
2025-04-20 17:53:46,014 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:53:46,032 | DEBUG | Database connection opened.
2025-04-20 17:53:46,032 | INFO | Fetched 4 expenses.
2025-04-20 17:53:46,032 | DEBUG | Database connection closed.
2025-04-20 17:53:52,816 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 17:53:52,832 | DEBUG | Database connection opened.
2025-04-20 17:53:52,832 | INFO | Fetched 4 expenses.
2025-04-20 17:53:52,832 | DEBUG | Database connection closed.
2025-04-20 17:53:52,873 | INFO | Deleting expenses for date: 2024-08-01
2025-04-20 17:53:52,881 | DEBUG | Database connection opened.
2025-04-20 17:53:52,925 | INFO | Expenses deleted successfully.
2025-04-20 17:53:52,939 | DEBUG | Changes committed to the database.
2025-04-20 17:53:52,939 | DEBUG | Database connection closed.
2025-04-20 17:53:52,939 | INFO | Inserting expense: 2024-08-01, 1227.0, Rent, Monthly rent payment
2025-04-20 17:53:52,953 | DEBUG | Database connection opened.
2025-04-20 17:53:52,962 | INFO | Expense inserted successfully.
2025-04-20 17:53:52,962 | DEBUG | Changes committed to the database.
2025-04-20 17:53:52,970 | DEBUG | Database connection closed.
2025-04-20 17:53:52,972 | INFO | Inserting expense: 2024-08-01, 300.0, Food, Groceries for the week
2025-04-20 17:53:52,978 | DEBUG | Database connection opened.
2025-04-20 17:53:52,986 | INFO | Expense inserted successfully.
2025-04-20 17:53:52,986 | DEBUG | Changes committed to the database.
2025-04-20 17:53:52,986 | DEBUG | Database connection closed.
2025-04-20 17:53:52,994 | INFO | Inserting expense: 2024-08-01, 1200.0, Rent, Monthly rent payment
2025-04-20 17:53:53,002 | DEBUG | Database connection opened.
2025-04-20 17:53:53,002 | INFO | Expense inserted successfully.
2025-04-20 17:53:53,010 | DEBUG | Changes committed to the database.
2025-04-20 17:53:53,010 | DEBUG | Database connection closed.
2025-04-20 17:53:53,010 | INFO | Inserting expense: 2024-08-01, 300.0, Food, Groceries for the week
2025-04-20 17:53:53,019 | DEBUG | Database connection opened.
2025-04-20 17:53:53,019 | INFO | Expense inserted successfully.
2025-04-20 17:53:53,029 | DEBUG | Changes committed to the database.
2025-04-20 17:53:53,029 | DEBUG | Database connection closed.
2025-04-20 17:53:53,029 | INFO | Inserting expense: 2024-08-01, 500.0, Other, laundery and cleaning
2025-04-20 17:53:53,043 | DEBUG | Database connection opened.
2025-04-20 17:53:53,044 | INFO | Expense inserted successfully.
2025-04-20 17:53:53,051 | DEBUG | Changes committed to the database.
2025-04-20 17:53:53,051 | DEBUG | Database connection closed.
2025-04-20 18:53:49,087 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 18:53:49,398 | DEBUG | Database connection opened.
2025-04-20 18:53:49,439 | INFO | Fetched 5 expenses.
2025-04-20 18:53:49,447 | DEBUG | Database connection closed.
2025-04-20 18:53:59,321 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 18:53:59,357 | DEBUG | Database connection opened.
2025-04-20 18:53:59,361 | INFO | Fetched 5 expenses.
2025-04-20 18:53:59,361 | DEBUG | Database connection closed.
2025-04-20 18:54:03,899 | INFO | Fetching expenses for date: 2024-08-01
2025-04-20 18:54:03,930 | DEBUG | Database connection opened.
2025-04-20 18:54:03,935 | INFO | Fetched 5 expenses.
2025-04-20 18:54:03,937 | DEBUG | Database connection closed.
2025-04-21 01:23:40,731 | INFO | Fetching summary between 2024-08-02 and 2024-08-25
2025-04-21 01:23:41,007 | DEBUG | Database connection opened.
2025-04-21 01:23:41,059 | INFO | Summary fetched with 5 categories.
2025-04-21 01:23:41,059 | DEBUG | Changes committed to the database.
2025-04-21 01:23:41,059 | DEBUG | Database connection closed.
2025-04-21 01:23:56,530 | INFO | Fetching summary between 2024-08-02 and 2024-08-25
2025-04-21 01:23:56,588 | DEBUG | Database connection opened.
2025-04-21 01:23:56,588 | INFO | Summary fetched with 5 categories.
2025-04-21 01:23:56,588 | DEBUG | Changes committed to the database.
2025-04-21 01:23:56,596 | DEBUG | Database connection closed.
2025-04-21 01:40:33,489 | INFO | Fetching summary between 2024-08-02 and 2024-08-25
2025-04-21 01:40:33,675 | DEBUG | Database connection opened.
2025-04-21 01:40:33,675 | DEBUG | Database connection closed.
2025-04-21 01:44:50,068 | INFO | Fetching summary between 2024-08-02 and 2024-08-25
2025-04-21 01:44:50,150 | DEBUG | Database connection opened.
2025-04-21 01:44:50,150 | INFO | Summary fetched with 5 categories.
2025-04-21 01:44:50,150 | DEBUG | Changes committed to the database.
2025-04-21 01:44:50,150 | DEBUG | Database connection closed.
2025-04-21 01:57:36,420 | INFO | Fetching summary between 2024-08-02 and 2024-08-25
2025-04-21 01:57:36,559 | DEBUG | Database connection opened.
2025-04-21 01:57:36,575 | INFO | Summary fetched with 5 categories.
2025-04-21 01:57:36,575 | DEBUG | Database connection closed.
2025-04-21 01:58:21,269 | INFO | Fetching summary between 2025-04-20 and 2025-04-20
2025-04-21 01:58:21,298 | DEBUG | Database connection opened.
2025-04-21 01:58:21,308 | INFO | Summary fetched with 0 categories.
2025-04-21 01:58:21,310 | DEBUG | Database connection closed.
2025-04-21 01:59:13,309 | INFO | Fetching summary between 2024-08-01 and 2024-08-02
2025-04-21 01:59:13,309 | DEBUG | Database connection opened.
2025-04-21 01:59:13,324 | INFO | Summary fetched with 4 categories.
2025-04-21 01:59:13,326 | DEBUG | Database connection closed.
2025-04-21 01:59:47,520 | INFO | Fetching expenses for date: 2024-08-01
2025-04-21 01:59:47,527 | DEBUG | Database connection opened.
2025-04-21 01:59:47,527 | INFO | Fetched 5 expenses.
2025-04-21 01:59:47,540 | DEBUG | Database connection closed.
2025-04-21 02:02:34,029 | INFO | Fetching expenses for date: 2024-08-01
2025-04-21 02:02:34,075 | DEBUG | Database connection opened.
2025-04-21 02:02:34,080 | INFO | Fetched 5 expenses.
2025-04-21 02:02:34,081 | DEBUG | Database connection closed.
2025-04-21 02:03:14,503 | INFO | Fetching expenses for date: 2024-08-01
2025-04-21 02:03:14,512 | DEBUG | Database connection opened.
2025-04-21 02:03:14,514 | INFO | Fetched 5 expenses.
2025-04-21 02:03:14,514 | DEBUG | Database connection closed.
2025-04-21 02:03:18,153 | INFO | Fetching expenses for date: 2024-08-01
2025-04-21 02:03:18,162 | DEBUG | Database connection opened.
2025-04-21 02:03:18,168 | INFO | Fetched 5 expenses.
2025-04-21 02:03:18,170 | DEBUG | Database connection closed.
